data_ulist_id,link,name,country,battle_rating,silver,rank,vehicle_category,type,required_exp
a_7e,https://wiki.warthunder.ru/unit/a_7e,A-7E,usa,10.7,950000,VII,Авиация,vehicle,175000
b-17e,https://wiki.warthunder.ru/unit/b-17e,B-17E,usa,4.7,76000,III,Авиация,vehicle,26000
b-17e_late,https://wiki.warthunder.ru/unit/b-17e_late,B-17E/L,usa,5.0,105000,III,Авиация,vehicle,17000
b-17g,https://wiki.warthunder.ru/unit/b-17g,B-17G-60-VE,usa,5.0,155000,IV,Авиация,vehicle,46000
b-29,https://wiki.warthunder.ru/unit/b-29,B-29A-BN,usa,7.0,200000,IV,Авиация,vehicle,63000
b-57,https://wiki.warthunder.ru/unit/b-57,B-57A,usa,8.3,300000,V,Авиация,vehicle,105000
b-57b,https://wiki.warthunder.ru/unit/b-57b,B-57B,usa,8.3,340000,V,Авиация,vehicle,61000
a_4e_early,https://wiki.warthunder.ru/unit/a_4e_early,A-4E Early,usa,8.7,,VI,Авиация,vehicle,
a_6e_tram,https://wiki.warthunder.ru/unit/a_6e_tram,A-6E TRAM,usa,10.7,,VII,Авиация,vehicle,
a_7k,https://wiki.warthunder.ru/unit/a_7k,A-7K,usa,11.3,,VII,Авиация,vehicle,
bb-1,https://wiki.warthunder.ru/unit/bb-1,ББ-1,ussr,1.3,700,I,Авиация,vehicle,2900
a_20g_30_ussr,https://wiki.warthunder.ru/unit/a_20g_30_ussr,▂A-20G-30,ussr,3.7,,III,Авиация,vehicle,
be_6,https://wiki.warthunder.ru/unit/be_6,Бе-6,ussr,5.0,,IV,Авиация,vehicle,
a_10c,https://wiki.warthunder.ru/unit/a_10c,A-10C,usa,11.7,950000,VII,Авиация,vehicle,350000
bf-109c_1_promo,https://wiki.warthunder.ru/unit/bf-109c_1_promo,Bf 109 C-1,germany,1.7,,I,Авиация,vehicle,
a_7e_thailand,https://wiki.warthunder.ru/unit/a_7e_thailand,▄A-7E,japan,10.7,710000,VII,Авиация,vehicle,260000
blenheim_mkiv,https://wiki.warthunder.ru/unit/blenheim_mkiv,Blenheim Mk.IV,britain,1.3,2100,I,Авиация,vehicle,4000
brigand_b1,https://wiki.warthunder.ru/unit/brigand_b1,Brigand B 1,britain,4.0,105000,III,Авиация,vehicle,33000
buccaneer_s2,https://wiki.warthunder.ru/unit/buccaneer_s2,Buccaneer S.2,britain,9.3,520000,VI,Авиация,vehicle,190000
buccaneer_s2b,https://wiki.warthunder.ru/unit/buccaneer_s2b,Buccaneer S.2B,britain,10.7,830000,VII,Авиация,vehicle,300000
boston_mk_1,https://wiki.warthunder.ru/unit/boston_mk_1,▄Boston Mk.I,britain,2.3,,II,Авиация,vehicle,
boomerang_mki,https://wiki.warthunder.ru/unit/boomerang_mki,▄Boomerang Mk.I,britain,3.0,,II,Авиация,vehicle,
boomerang_mkii,https://wiki.warthunder.ru/unit/boomerang_mkii,▄Boomerang Mk.II,britain,3.0,,II,Авиация,vehicle,
buccaneer_s1,https://wiki.warthunder.ru/unit/buccaneer_s1,Buccaneer S.1,britain,8.7,,VI,Авиация,vehicle,
b_25j_30_china,https://wiki.warthunder.ru/unit/b_25j_30_china,␗B-25J-30,china,3.7,47000,III,Авиация,vehicle,18000
br_693_ab2,https://wiki.warthunder.ru/unit/br_693_ab2,Br.693AB2,france,1.7,2100,I,Авиация,vehicle,4000
b_26c_france,https://wiki.warthunder.ru/unit/b_26c_france,B-26C,france,4.3,47000,III,Авиация,vehicle,18000
bf-109f-4_trop,https://wiki.warthunder.ru/unit/bf-109f-4_trop,Bf 109 F-4/trop,germany,4.0,76000,III,Авиация,vehicle,13000
bf-109g-2,https://wiki.warthunder.ru/unit/bf-109g-2,Bf 109 G-2/trop,germany,4.3,155000,IV,Авиация,vehicle,46000
bf-109g-6,https://wiki.warthunder.ru/unit/bf-109g-6,Bf 109 G-6,germany,4.7,185000,IV,Авиация,vehicle,27000
bf-109g-14,https://wiki.warthunder.ru/unit/bf-109g-14,Bf 109 G-14,germany,5.3,185000,IV,Авиация,vehicle,54000
bf-109g-10,https://wiki.warthunder.ru/unit/bf-109g-10,Bf 109 G-10,germany,5.7,200000,IV,Авиация,vehicle,31000
bf-109k-4,https://wiki.warthunder.ru/unit/bf-109k-4,Bf 109 K-4,germany,5.7,210000,IV,Авиация,vehicle,71000
bf-110c-4,https://wiki.warthunder.ru/unit/bf-110c-4,Bf 110 C-7,germany,2.7,22000,II,Авиация,vehicle,11000
bf-110f-2,https://wiki.warthunder.ru/unit/bf-110f-2,Bf 110 F-2,germany,3.0,32000,II,Авиация,vehicle,6900
bf-110g-2,https://wiki.warthunder.ru/unit/bf-110g-2,Bf 110 G-2,germany,3.7,47000,III,Авиация,vehicle,18000
bf_110g_4,https://wiki.warthunder.ru/unit/bf_110g_4,Bf 110 G-4,germany,3.7,76000,III,Авиация,vehicle,13000
bv-138c-1,https://wiki.warthunder.ru/unit/bv-138c-1,BV 138 C-1,germany,1.7,2100,I,Авиация,vehicle,2000
bf-110c-6,https://wiki.warthunder.ru/unit/bf-110c-6,Bf 110 C-6,germany,3.0,,II,Авиация,vehicle,
bv-238,https://wiki.warthunder.ru/unit/bv-238,BV 238,germany,3.7,,II,Авиация,vehicle,
bf-109g-2_romania,https://wiki.warthunder.ru/unit/bf-109g-2_romania,Bf 109 G-2,germany,4.3,,III,Авиация,vehicle,
bv-155b-1,https://wiki.warthunder.ru/unit/bv-155b-1,BV 155 B-1,germany,3.7,,III,Авиация,vehicle,
bf-109z,https://wiki.warthunder.ru/unit/bf-109z,Bf 109 Z-1,germany,4.7,,IV,Авиация,vehicle,
bf-109g-14as,https://wiki.warthunder.ru/unit/bf-109g-14as,▄Bf 109 G-14/AS,italy,5.3,185000,IV,Авиация,vehicle,54000
breda_88,https://wiki.warthunder.ru/unit/breda_88,Breda 88 (P.XI),italy,1.7,2100,I,Авиация,vehicle,4000
br_20_dr,https://wiki.warthunder.ru/unit/br_20_dr,B.R.20DR,italy,1.7,2100,I,Авиация,vehicle,4000
br_20m_m1,https://wiki.warthunder.ru/unit/br_20m_m1,B.R.20M M1,italy,1.7,6300,I,Авиация,vehicle,3000
bf-109g-2_hungary,https://wiki.warthunder.ru/unit/bf-109g-2_hungary,◐Bf 109 G-2,italy,4.3,,IV,Авиация,vehicle,
bf_110g_4_hungary,https://wiki.warthunder.ru/unit/bf_110g_4_hungary,◐Bf 110 G-4,italy,3.7,,III,Авиация,vehicle,
bf-109f-4_hungary,https://wiki.warthunder.ru/unit/bf-109f-4_hungary,◐Bf 109 F-4,italy,4.0,,III,Авиация,vehicle,
b_239_finland,https://wiki.warthunder.ru/unit/b_239_finland,▄B-239,sweden,2.7,10000,II,Авиация,vehicle,7900
bf-109g-2_finland,https://wiki.warthunder.ru/unit/bf-109g-2_finland,▄Bf 109 G-2,sweden,4.3,155000,IV,Авиация,vehicle,46000
bf-109g-6_erla_finland,https://wiki.warthunder.ru/unit/bf-109g-6_erla_finland,▄Bf 109 G-6 Erla,sweden,4.7,185000,IV,Авиация,vehicle,27000
bf-109g-6_finland,https://wiki.warthunder.ru/unit/bf-109g-6_finland,▄Bf 109 G-6,sweden,4.7,,IV,Авиация,vehicle,
bf2c_1,https://wiki.warthunder.ru/unit/bf2c_1,BF2C-1,usa,1.0,0,I,Авиация,vehicle,
b_18a,https://wiki.warthunder.ru/unit/b_18a,B-18A,usa,1.3,2100,I,Авиация,vehicle,2000
b_34,https://wiki.warthunder.ru/unit/b_34,B-34,usa,3.3,10000,II,Авиация,vehicle,7900
b_25j_1,https://wiki.warthunder.ru/unit/b_25j_1,B-25J-1,usa,3.7,16000,II,Авиация,vehicle,9200
b_25j_20,https://wiki.warthunder.ru/unit/b_25j_20,B-25J-20,usa,3.7,22000,II,Авиация,vehicle,11000
b_26b_c,https://wiki.warthunder.ru/unit/b_26b_c,B-26B,usa,4.3,47000,III,Авиация,vehicle,18000
b_24d,https://wiki.warthunder.ru/unit/b_24d,B-24D-25-CO,usa,5.7,185000,IV,Авиация,vehicle,27000
btd-1,https://wiki.warthunder.ru/unit/btd-1,BTD-1,usa,4.0,,III,Авиация,vehicle,
bf-109f-4_usa,https://wiki.warthunder.ru/unit/bf-109f-4_usa,▃Bf 109 F-4,usa,4.0,,III,Авиация,vehicle,
b_10b,https://wiki.warthunder.ru/unit/b_10b,B-10B,usa,1.3,,I,Авиация,vehicle,
b_25j_30_vvs_ussr,https://wiki.warthunder.ru/unit/b_25j_30_vvs_ussr,▂B-25J-30,ussr,3.7,,III,Авиация,vehicle,
bi,https://wiki.warthunder.ru/unit/bi,БИ,ussr,6.7,,V,Авиация,vehicle,
canberra_bmk2,https://wiki.warthunder.ru/unit/canberra_bmk2,Canberra B.Mk.2,britain,8.3,300000,V,Авиация,vehicle,105000
canberra_bimk6,https://wiki.warthunder.ru/unit/canberra_bimk6,Canberra B(I).Mk.6,britain,8.3,340000,V,Авиация,vehicle,61000
b_48_firecrest,https://wiki.warthunder.ru/unit/b_48_firecrest,Firecrest,britain,2.3,,II,Авиация,vehicle,
corsair_fmk2,https://wiki.warthunder.ru/unit/corsair_fmk2,▄Corsair F Mk II,britain,2.7,,II,Авиация,vehicle,
d_520,https://wiki.warthunder.ru/unit/d_520,▄D.520,britain,3.0,,II,Авиация,vehicle,
d_521,https://wiki.warthunder.ru/unit/d_521,▄D.521,britain,3.0,,II,Авиация,vehicle,
dh_110_sea_vixen,https://wiki.warthunder.ru/unit/dh_110_sea_vixen,Sea Vixen F.A.W. Mk.2,britain,9.0,,V,Авиация,vehicle,
db_7,https://wiki.warthunder.ru/unit/db_7,▄DB-7,britain,2.3,,II,Авиация,vehicle,
cw_21,https://wiki.warthunder.ru/unit/cw_21,CW-21,china,2.7,2100,I,Авиация,vehicle,4000
db_3a_china,https://wiki.warthunder.ru/unit/db_3a_china,␗DB-3A,china,2.7,10000,II,Авиация,vehicle,7900
d_510c,https://wiki.warthunder.ru/unit/d_510c,D.510C,china,1.3,,I,Авиация,vehicle,
d_371,https://wiki.warthunder.ru/unit/d_371,D.371,france,1.0,0,I,Авиация,vehicle,
d_373,https://wiki.warthunder.ru/unit/d_373,D.373,france,1.0,0,I,Авиация,vehicle,
caudron_cr714,https://wiki.warthunder.ru/unit/caudron_cr714,C.R.714,france,1.3,700,I,Авиация,vehicle,2900
d_520_france,https://wiki.warthunder.ru/unit/d_520_france,D.520,france,3.0,22000,II,Авиация,vehicle,5600
d_500,https://wiki.warthunder.ru/unit/d_500,D.500,france,1.0,0,I,Авиация,vehicle,
d_501,https://wiki.warthunder.ru/unit/d_501,D.501,france,1.3,700,I,Авиация,vehicle,1500
douglas_ad_4_france,https://wiki.warthunder.ru/unit/douglas_ad_4_france,▄AD-4,france,6.0,155000,IV,Авиация,vehicle,46000
d_510,https://wiki.warthunder.ru/unit/d_510,D.510 Пальера,france,1.3,,I,Авиация,vehicle,
douglas_ad_4na_france,https://wiki.warthunder.ru/unit/douglas_ad_4na_france,▄AD-4NA,france,6.0,,IV,Авиация,vehicle,
d_371_hs9,https://wiki.warthunder.ru/unit/d_371_hs9,D.371 H.S.9,france,1.3,,I,Авиация,vehicle,
do_17z_7,https://wiki.warthunder.ru/unit/do_17z_7,Do 17 Z-7,germany,1.3,700,I,Авиация,vehicle,2900
do_217j_1,https://wiki.warthunder.ru/unit/do_217j_1,Do 217 J-1,germany,2.0,2100,I,Авиация,vehicle,4000
do_217j_2,https://wiki.warthunder.ru/unit/do_217j_2,Do 217 J-2,germany,2.3,6300,I,Авиация,vehicle,3000
do_217n_1,https://wiki.warthunder.ru/unit/do_217n_1,Do 217 N-1,germany,2.3,16000,II,Авиация,vehicle,9200
do_217n_2,https://wiki.warthunder.ru/unit/do_217n_2,Do 217 N-2,germany,2.7,22000,II,Авиация,vehicle,5600
do_335a_1,https://wiki.warthunder.ru/unit/do_335a_1,Do 335 A-1,germany,4.3,76000,III,Авиация,vehicle,26000
do_335a_0,https://wiki.warthunder.ru/unit/do_335a_0,Do 335 A-0,germany,4.7,105000,III,Авиация,vehicle,17000
do_17e_1,https://wiki.warthunder.ru/unit/do_17e_1,Do 17 E-1,germany,1.0,700,I,Авиация,vehicle,2900
do_17z_2,https://wiki.warthunder.ru/unit/do_17z_2,Do 17 Z-2,germany,1.7,2100,I,Авиация,vehicle,2000
do_217e_2,https://wiki.warthunder.ru/unit/do_217e_2,Do 217 E-2,germany,4.3,76000,III,Авиация,vehicle,26000
do_217e_4,https://wiki.warthunder.ru/unit/do_217e_4,Do 217 E-4,germany,4.7,105000,III,Авиация,vehicle,17000
do_217k_1,https://wiki.warthunder.ru/unit/do_217k_1,Do 217 K-1,germany,4.7,155000,IV,Авиация,vehicle,46000
do_217m_1,https://wiki.warthunder.ru/unit/do_217m_1,Do 217 M-1,germany,4.7,185000,IV,Авиация,vehicle,27000
do_335b_2,https://wiki.warthunder.ru/unit/do_335b_2,Do 335 B-2,germany,5.7,,IV,Авиация,vehicle,
cr_32,https://wiki.warthunder.ru/unit/cr_32,CR.32,italy,1.0,0,I,Авиация,vehicle,
cr_32_quater,https://wiki.warthunder.ru/unit/cr_32_quater,CR.32 quater,italy,1.0,0,I,Авиация,vehicle,
cr_32_bis,https://wiki.warthunder.ru/unit/cr_32_bis,CR.32 bis,italy,1.7,,I,Авиация,vehicle,
d3a1,https://wiki.warthunder.ru/unit/d3a1,D3A1,japan,1.3,2100,I,Авиация,vehicle,4000
d4y1,https://wiki.warthunder.ru/unit/d4y1,D4Y1,japan,2.0,16000,II,Авиация,vehicle,9200
d4y2,https://wiki.warthunder.ru/unit/d4y2,D4Y2,japan,2.3,22000,II,Авиация,vehicle,5600
d4y3,https://wiki.warthunder.ru/unit/d4y3,D4Y3 Ko,japan,3.0,22000,II,Авиация,vehicle,11000
douglas_ad_2,https://wiki.warthunder.ru/unit/douglas_ad_2,AD-2,usa,5.7,185000,IV,Авиация,vehicle,54000
douglas_ad_4,https://wiki.warthunder.ru/unit/douglas_ad_4,AD-4,usa,6.0,200000,IV,Авиация,vehicle,31000
douglas_a_1h,https://wiki.warthunder.ru/unit/douglas_a_1h,A-1H,usa,6.3,,IV,Авиация,vehicle,
db_3b,https://wiki.warthunder.ru/unit/db_3b,ДБ-3Б,ussr,2.7,10000,II,Авиация,vehicle,7900
ef_2000_block_10,https://wiki.warthunder.ru/unit/ef_2000_block_10,◄EF-2000,germany,14.0,1120000,VIII,Авиация,vehicle,420000
ef_2000a,https://wiki.warthunder.ru/unit/ef_2000a,F-2000A,italy,14.0,1120000,VIII,Авиация,vehicle,420000
f-5c,https://wiki.warthunder.ru/unit/f-5c,F-5C,usa,10.7,,VII,Авиация,vehicle,
f-4m_fgr2,https://wiki.warthunder.ru/unit/f-4m_fgr2,Phantom FGR.2,britain,12.0,950000,VII,Авиация,vehicle,350000
f-4k,https://wiki.warthunder.ru/unit/f-4k,Phantom FG.1,britain,12.0,950000,VII,Авиация,vehicle,350000
f-4jk,https://wiki.warthunder.ru/unit/f-4jk,F-4J(UK) Phantom II,britain,12.0,,VII,Авиация,vehicle,
f-100a_china,https://wiki.warthunder.ru/unit/f-100a_china,␗F-100A,china,9.3,520000,VI,Авиация,vehicle,190000
f-104a_china,https://wiki.warthunder.ru/unit/f-104a_china,␗F-104A,china,9.3,620000,VI,Авиация,vehicle,220000
f-104g_china,https://wiki.warthunder.ru/unit/f-104g_china,␗F-104G,china,10.7,710000,VII,Авиация,vehicle,260000
f-5a_china,https://wiki.warthunder.ru/unit/f-5a_china,␗F-5A,china,10.7,830000,VII,Авиация,vehicle,300000
f-5e_aidc,https://wiki.warthunder.ru/unit/f-5e_aidc,␗F-5E,china,11.0,950000,VII,Авиация,vehicle,175000
f-100d_france,https://wiki.warthunder.ru/unit/f-100d_france,▄F-100D,france,9.3,620000,VI,Авиация,vehicle,220000
etndard_4m,https://wiki.warthunder.ru/unit/etndard_4m,Etendard IVM,france,9.0,520000,VI,Авиация,vehicle,190000
f-104g_belgium,https://wiki.warthunder.ru/unit/f-104g_belgium,▄F-104G,france,11.0,830000,VII,Авиация,vehicle,300000
f-104g,https://wiki.warthunder.ru/unit/f-104g,◄F-104G,germany,11.0,710000,VII,Авиация,vehicle,260000
f-4f_late,https://wiki.warthunder.ru/unit/f-4f_late,◄F-4F,germany,11.0,830000,VII,Авиация,vehicle,300000
f-4f_kws_lv,https://wiki.warthunder.ru/unit/f-4f_kws_lv,◄F-4F KWS LV,germany,13.0,1100000,VIII,Авиация,vehicle,410000
f-4f,https://wiki.warthunder.ru/unit/f-4f,◄F-4F Early,germany,10.7,,VII,Авиация,vehicle,
f-4e_iaf,https://wiki.warthunder.ru/unit/f-4e_iaf,Kurnass,israel,11.3,950000,VII,Авиация,vehicle,350000
f-4e_kurnass_2000,https://wiki.warthunder.ru/unit/f-4e_kurnass_2000,Kurnass 2000,israel,12.3,1080000,VIII,Авиация,vehicle,400000
